STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Tennessee,,"Stewart, Lee",,W,,14,
Tennessee,,"Schappert, Christopher",,W,,12,
Tennessee,,"Hoenicke, Allen",,W,,5,
Tennessee,,"Wright, Mary D.",,W,,2,
Tennessee,,,Total State Votes:,,618070,2321477,
,,,,,,,
Texas,,DISTRICT 1,,,,,
Texas,,,,,,,
Texas,,"Cruz, Ted",,R,480558,4440137,
Texas,,"Dewhurst, David",,R,627731,,
Texas,,"Leppert, Tom",,R,187900,,
Texas,,"James, Craig",,R,50569,,
Texas,,"Addison, Glenn",,R,23177,,
Texas,,"Pittenger, Lela",,R,18143,,
Texas,,"Gambini, Ben",,R,7225,,
Texas,,"Cleaver, Curt",,R,6671,,
Texas,,"Agris, Joe",,R,4674,,
Texas,,,Party Votes:,R,1406648,,
Texas,,,,,,,
Texas,,"Sadler, Paul",,D,174772,3194927,
Texas,,"Yarbrough, Grady",,D,128746,,
Texas,,"Allen, Addie Dainell",,D,113935,,
Texas,,"Hubbard, Sean",,D,80034,,
Texas,,,Party Votes:,D,497487,,
Texas,,,,,,,
Texas,,"Myers, John Jay",,LIB,*,162354,
Texas,,"Butler, Robert D.",,LIB,,,
Texas,,"Huffman, Wayne",,LIB,,,
Texas,,"Jameson, Scott",,LIB,,,
Texas,,"Raju, S. Gopal",,LIB,,,
Texas,,"Roland, Jon",,LIB,,,
Texas,,"Collins, David B.",,GRE,*,67404,
Texas,,"Zabaras, Victoria Ann",,GRE,,,
Texas,,,Total State Votes:,,1904135,7864822,
,,,,,,,
Utah,,DISTRICT 1,,,,,
Utah,(I),"Bishop, Rob",,R,*,175487,
Utah,,"Smith, Jacqueline B.",,R,,,
Utah,,"Fabiano, Leonard Joe",,R,,,
Utah,,"McAleer, Donna M.",,D,3881,60611,
Utah,,"Combe, Ryan",,D,1944,,
Utah,,,Party Votes:,D,5825,,
Utah,,"Phipps, Sherry",,CON,*,9430,
Utah,,,District Votes:,,5825,245528,
Utah,,DISTRICT 2,,,,,
Utah,,"Stewart, Chris",,R,*,154523,
Utah,,"Clark, David",,R,,,
Utah,,"Hanks, Milton Ray",,R,,,
Utah,,"Wallack, Howard",,R,,,
Utah,,"Eagar, Cherilyn",,R,,,
Utah,,"Buck, Jason",,R,,,
Utah,,"Fuehr, Bob",,R,,,
Utah,,"Williams, Chuck ",,R,,,
Utah,,"McElhaney, Jeramey",,R,,,
Utah,,"Willoughby, John W.",,R,,,
Utah,,"Mayerhofer, Edward",,R,,,
Utah,,"Seegmiller, Jay",,D,*,83176,
Utah,,"Collinwood, Dean",,D,,,
Utah,,"Small, Michael",,D,,,
Utah,,"Garrard, Jonathan D.",,CON,*,5051,
Utah,,"Andrade, Joseph",,UN,,2971,
Utah,,"Kimball, Charles E.",,UN,,2824,
Utah,,,District Votes:,,,248545,
Utah,,DISTRICT 3,,,,,
Utah,(I),"Chaffetz, Jason",,R,*,198828,
Utah,,"Wardle, Lynn D.",,R,,,
Utah,,"Jenkins, Brian",,R,,,
Utah,,"Simonsen, Soren",,D,*,60719,
Utah,,"Clark, Richard",,D,,,
Utah,,,District Votes:,,,259547,
Utah,,DISTRICT 4,,,,,
Utah,(I),"Matheson, Jim",,D,*,119803,
Utah,,"Love, Mia B.",,R,*,119035,
Utah,,"Wimmer, Carl",,R,,,
Utah,,"Sandstrom, Stephen Eric",,R,,,
Utah,,"Cobb, Jay",,R,,,
Utah,,"Gray, Kenneth",,R,,,
Utah,,"Vein, Jim L.",,LIB,*,6439,
Utah,,"Nelson, Torin",,UJP,*,,
Utah,,,District Votes:,,,245277,
Utah,,,,,,,
Utah,,,Total State Votes:,,5825,998897,
Utah,,,,,,,
Utah,(I),"Hatch, Orrin G.",,R,160359,657608,
Utah,,"Liljenquist, Dan",,R,80915,,
Utah,,"Herrod, Christopher Niles",,R,,,
Utah,,"Aalders, Timothy Noel",,R,,,
Utah,,"Ash, Dale",,R,,,
Utah,,"Chiu, David Y.",,R,,,
Utah,,"Friedbaum, Jeremy Lewis",,R,,,
Utah,,"Brunson, Loy Arlan",,R,,,
Utah,,"Fisk, Kevin D.",,R,,,
