STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
North Carolina,S,,"Tillis, Thom",,R,223174,1423259,,
North Carolina,S,,"Brannon, Greg",,R,132630,,,
North Carolina,S,,"Harris, Mark",,R,85727,,,
North Carolina,S,,"Grant, Heather",,R,22971,,,
North Carolina,S,,"Snyder, Jim",,R,9414,,,
North Carolina,S,,"Alexander, Ted",,R,9258,,,
North Carolina,S,,"Bradshaw, Alex Lee",,R,3528,,,
North Carolina,S,,"Kryn, Edward",,R,1853,,,
North Carolina,S,,,Party Votes:,R,488555,,,
North Carolina,S,(I),"Hagan, Kay",,D,372209,1377651,,
North Carolina,S,,"Stewart, Will",,D,66903,,,
North Carolina,S,,"Reeves, Ernest T.",,D,43257,,,
North Carolina,S,,,Party Votes:,D,482369,,,
North Carolina,S,,"Haugh, Sean",,LIB,1226,109100,,
North Carolina,S,,"D'Annunzio, Tim",,LIB,794,,,
North Carolina,S,,,Party Votes:,LIB,2020,,,
North Carolina,S,,Scattered,,W,,4307,,
North Carolina,S,,"Rhodes, John ",,W,,621,,
North Carolina,S,,"Waddell, David",,W,,201,,
North Carolina,S,,"Gurney, Barry",,W,,142,,
North Carolina,S,,,Total State Votes:,,972944,2915281,,
,,,,,,,,,
Oklahoma,S  - FULL TERM,(I),"Inhofe, Jim",,R,231291,558166,,
Oklahoma,S  - FULL TERM,,"Rogers, Evelyn L.",,R,11960,,,
Oklahoma,S  - FULL TERM,,"Wyatt, Erick Paul",,R,11713,,,
Oklahoma,S  - FULL TERM,,"Moye, Rob",,R,4846,,,
Oklahoma,S  - FULL TERM,,"McBride-Samuels, D. Jean",,R,3965,,,
Oklahoma,S  - FULL TERM,,,Party Votes:,R,263775,,,
Oklahoma,S  - FULL TERM,,"Silverstein, Matt",,D,Unopposed,234307,,
Oklahoma,S  - FULL TERM,,"Farr, Joan",,IND,,10554,,
Oklahoma,S  - FULL TERM,,"Woods, Ray",,IND,,9913,,
Oklahoma,S  - FULL TERM,,"DeLozier, Aaron",,IND,,7793,,
Oklahoma,S  - FULL TERM,,,Total Full Term State Votes:,,263775,820733,,
,,,,,,,,,
Oklahoma,S-UNEXPIRED TERM,,"Lankford, James",,R,152749,557002,,
Oklahoma,S-UNEXPIRED TERM,,"Shannon, T. W.",,R,91854,,,
Oklahoma,S-UNEXPIRED TERM,,"Brogdon, Randy",,R,12934,,,
Oklahoma,S-UNEXPIRED TERM,,"Crow, Kevin",,R,2828,,,
Oklahoma,S-UNEXPIRED TERM,,"Craig, Andy",,R,2427,,,
Oklahoma,S-UNEXPIRED TERM,,"McCray, Eric C.",,R,2272,,,
Oklahoma,S-UNEXPIRED TERM,,"Weger, Jason",,R,1794,,,
Oklahoma,S-UNEXPIRED TERM,,,Party Votes:,R,266858,,,
Oklahoma,S-UNEXPIRED TERM,,"Johnson, Connie",,D,71462,237923,,
Oklahoma,S-UNEXPIRED TERM,,"Rogers, Jim",,D,57598,,,
Oklahoma,S-UNEXPIRED TERM,,"Hayes, Patrick Michael",,D,33943,,,
Oklahoma,S-UNEXPIRED TERM,,,Party Votes:,D,163003,,,
Oklahoma,S-UNEXPIRED TERM,,"Beard, Mark T.",,IND,,25965,,
Oklahoma,S-UNEXPIRED TERM,,,Total Unexpired Term State Votes:,,429861,820890,,
,,,,,,,,,
Oregon,S,(I),"Merkley, Jeff",,DEM/IP/PRO/WF,277120,814537,,
Oregon,S,,"Bryk, William ",,D,11330,,,
Oregon,S,,"Goberman, Pavel ",,D,8436,,,
Oregon,S,,Scattered,,W(D),4194,,,
Oregon,S,,,Party Votes:,D,301080,,,
Oregon,S,,"Wehby, Monica",,R,134627,538847,,
Oregon,S,,"Conger, Jason",,R,101401,,,
Oregon,S,,"Callahan, Mark ",,R,18220,,,
Oregon,S,,"Perkins, Jo Rae ",,R,7602,,,
Oregon,S,,"Crawley, Timothy I.",,R,6566,,,
Oregon,S,,Scattered,,W(R),1027,,,
Oregon,S,,,Party Votes:,R,269443,,,
Oregon,S,,"Montchalin, Mike",,LIB,*,44916,,
Oregon,S,,"Lugo, Christina Jean",,PG,*,32434,,
Oregon,S,,"Leuenberger, James E.",,CON,*,24212,,
Oregon,S,,Scattered,,W,,6672,,
Oregon,S,,,Total State Votes:,,570523,1461618,,
,,,,,,,,,
Rhode Island,S,(I),"Reed, John F.",,D,98816,223675,,
Rhode Island,S,,,Party Votes:,D,98816,,,
Rhode Island,S,,"Zaccaria, Mark S.",,R,23787,92684,,
Rhode Island,S,,,Party Votes:,R,23787,,,
Rhode Island,S,,Scattered,,W,,531,,
Rhode Island,S,,"Healy, Bob",,W,,8,,
Rhode Island,S,,,Total State Votes:,,122603,316898,,
,,,,,,,,,
South Carolina,S   (Full Term),(I),"Graham, Lindsey",,R,178833,672941,,
South Carolina,S   (Full Term),,"Bright, Lee",,R,48904,,,
South Carolina,S   (Full Term),,"Cash, Richard",,R,26325,,,
South Carolina,S   (Full Term),,"Bowers, Det",,R,23172,,,
South Carolina,S   (Full Term),,"Mace, Nancy",,R,19634,,,
South Carolina,S   (Full Term),,"Connor, Bill",,R,16912,,,
South Carolina,S   (Full Term),,"Dunn, Benjamin ",,R,3209,,,
South Carolina,S   (Full Term),,,Party Votes:,R,316989,,,
South Carolina,S   (Full Term),,"Hutto, Brad",,WF,*,24207,,
South Carolina,S   (Full Term),,"Hutto, Brad",,D,87552,456726,,
South Carolina,S   (Full Term),,"Stamper, Jay",,D,26678,,,
South Carolina,S   (Full Term),,,Party Votes:,D,114230,,,
South Carolina,S   (Full Term),,"Kocher, Victor",,LIB,*,33839,,
South Carolina,S   (Full Term),,"Ravenel, Thomas",,PET,,47588,,
South Carolina,S   (Full Term),,Scattered,,W,,4774,,
South Carolina,S   (Full Term),,,Total State Votes (Full Term):,,431219,1240075,,
,,,,,,,,,
South Carolina,S   (Unexpired Term),(I),"Scott, Tim",,R,276147,757215,,
South Carolina,S   (Unexpired Term),,"Young, Randall ",,R,30741,,,
South Carolina,S   (Unexpired Term),,,Party Votes:,R,306888,,,
South Carolina,S   (Unexpired Term),,"Dickerson, Joyce",,D,72874,459583,,
South Carolina,S   (Unexpired Term),,"Moore, Sidney ",,D,26310,,,
South Carolina,S   (Unexpired Term),,"Pavilack, Harry ",,D,12253,,,
South Carolina,S   (Unexpired Term),,,Party Votes:,D,111437,,,
South Carolina,S   (Unexpired Term),,"Bossi, Jill",,AM,*,21652,,
South Carolina,S   (Unexpired Term),,Scattered,,W,,532,,
South Carolina,S   (Unexpired Term),,,Total State Votes (Unexpired Term):,,418325,1238982,,
,,,,,,,,,
South Dakota,S,,"Rounds, Mike ",,R,41377,140741,,
South Dakota,S,,"Rhoden, Larry",,R,13593,,,
South Dakota,S,,"Nelson, Stace",,R,13179,,,
South Dakota,S,,"Bosworth, Annette ",,R,4283,,,
South Dakota,S,,"Ravnsborg, Jason ",,R,2066,,,
South Dakota,S,,,Party Votes:,R,74498,,,
South Dakota,S,,"Weiland, Rick ",,D,Unopposed,82456,,
South Dakota,S,,"Pressler, Larry",,IND,,47741,,
South Dakota,S,,"Howie, Gordon",,IND,,8474,,
South Dakota,S,,,Total State Votes:,,74498,279412,,
,,,,,,,,,
Tennessee,S,(I),"Alexander, Lamar",,R,331705,850087,,
Tennessee,S,,"Carr, Joe ",,R,271324,,,
Tennessee,S,,"Flinn, George Shea",,R,34668,,,
Tennessee,S,,"Agnew, Christian",,R,11320,,,
Tennessee,S,,"Lenard, Brenda S.",,R,7908,,,
Tennessee,S,,"King, John D.",,R,7748,,,
Tennessee,S,,"Magee, Erin Kent",,R/W,3366,5,,
Tennessee,S,,,Party Votes:,R,668039,,,
Tennessee,S,,"Ball, Gordon",,D,87829,437848,,
Tennessee,S,,"Adams, Terry",,D,85794,,,
Tennessee,S,,"Davis, Gary Gene",,D,42549,,,
Tennessee,S,,"Crim, Larry ",,D,24777,,,
Tennessee,S,,,Party Votes:,D,240949,,,
Tennessee,S,,"Wilmoth, Joe",,CON,,36088,,
Tennessee,S,,"Pleasant, Martin",,GRE,,12570,,
Tennessee,S,,"Emerson, Tom, Jr. ",,IND,,11157,,
Tennessee,S,,"Page, Danny",,IND,,7713,,
Tennessee,S,,"Tyler, Rick",,IND,,5759,,
Tennessee,S,,"James, Joshua",,IND,,5678,,
Tennessee,S,,"Phillips, Bartholomew J.",,IND,,2386,,
Tennessee,S,,"Gauthier, Edmund L.",,IND,,2314,,
Tennessee,S,,"Schechter, Eric",,IND,,1673,,
Tennessee,S,,"Salekin, C.",,IND,,787,,
Tennessee,S,,,Total State Votes:,,908988,1374065,,
,,,,,,,,,
