STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
Washington,,"Cummings, Ted",,IP,11028,
Washington,,"Wright, Sam",,HRP,10751,
Washington,,"Mover, Uncle",,R,8569,
Washington,,"Teuton, Jeremy",,SRP,7991,
Washington,,"Amundson, Thor",,D,7906,
Washington,,"Jackson, Chuck",,IP,6318,
Washington,,"Churchill, Dr. Pano",,LCP,5150,
Washington,,"Haller, Zach",,IP,5092,
Washington,,"Tsimerman, Alex",,SUA,4117,
Washington,,,Total State Votes:,,1384996,3243317
Washington,,,,,,
,,,,,,
Wisconsin,(I),"Johnson, Ron ",,R,248754,1479471
Wisconsin,,Scattered,,W(R),1225,
Wisconsin,,,Party Votes:,R,249979,
Wisconsin,,"Feingold, Russ",,D,303791,1380335
Wisconsin,,"Harbach, Scott",,D,33096,
Wisconsin,,Scattered,,W(D),189,
Wisconsin,,,Party Votes:,D,337076,
Wisconsin,,"Anderson, Phillip N.",,LIB,1625,87531
Wisconsin,,Scattered,,W(LIB),17,
Wisconsin,,,Party Votes:,LIB,1642,
Wisconsin,,Scattered,,W,,1396
Wisconsin,,Scattered,,W(CON),51,
Wisconsin,,,Party Votes:,CON,51,
Wisconsin,,Scattered,,W(WG),114,
Wisconsin,,,Party Votes:,WG,114,
Wisconsin,,"Schiess, John",,W,,8
Wisconsin,,,Total State Votes:,,588862,2948741
Wisconsin,,,,,,
